,Provider,ProviderSegment,0
1084,AdAdvisor Audiences by Neustar,Luxury Pet Supplies Buyers,30
1085,Acxiom,Full Size SUV,30
1086,D&B,B2B Job Function/Roles > Computing & IT > Software Engineering,30
1087,Oracle Data Marketplace,Smart Home Security Equipment,30
1088,Acxiom,Mid SUV,30
1089,comScore,Golf Fans,30
1090,Oracle Data Marketplace,Gadgets & Portable Electronics,30
1091,Acxiom,On a smartphone (Financial),30
1092,Oracle Data Marketplace,Data Center Solutions,30
1093,Experian Standard,Full-Size SUV,30
1094,Acxiom,Smartphone,30
1095,Oracle Data Marketplace,Network Computing,30
1096,Oracle Data Marketplace,Computer & Video Games,30
1097,Oracle Data Marketplace,Cloud Infrastructure Computing,30
1098,AdAdvisor Audiences by Neustar,Mid-Priced Pet Supplies Buyers,30
1099,AdAdvisor Audiences by Neustar,Own or Play Video Games,30
1100,Oracle Data Marketplace,Browse Internet via Smartphone While Watching TV,30
1101,D&B,B2B Job Function/Roles > Computing & IT > Data Scientist / Analyst,29
1102,Oracle Data Marketplace,Pays for Luxury Hotel,29
1103,D&B,B2B Company Size > Large: 251 - 500 Employees,29
1104,LiveRamp Data Marketplace,Marketing - Creative,29
1105,Acxiom,Direct Mail Promotion at Home,29
1106,Acxiom - International,International,29
1107,Webbula,Exercise Grouping,29
1108,Acxiom,Any Vehicle Insurance,29
1109,Oracle Data Marketplace,45-54 Years,29
1110,Bombora,Government > Federal,29
1111,Oracle Data Marketplace,55-64 Years,29
1112,LiveRamp Data Marketplace,Company Size - Extra Large (Over 5000 Employees),29
1113,D&B,Audit,29
1114,Oracle Data Marketplace,35-44 Years,29
1115,Oracle Data Marketplace,Fine Jewelry,29
1116,Webbula,Additional Occupants 45 - 54 years old.,29
1117,Oracle Data Marketplace,Age 35-44,29
1118,Acxiom,Cosmetics Buyers,29
1119,LiveRamp Data Marketplace,General Management - VP,29
1120,Acxiom,Encompass,29
1121,LiveRamp Data Marketplace,General Management - Manager Or Supervisor,29
1122,LiveRamp Data Marketplace,General Management - Director,29
1123,Oracle Data Marketplace,Ages 18-20,29
1124,LiveRamp Data Marketplace,C-Level Decision Makers,29
1125,Webbula,Additional Occupants from 55 - 64 years old.,29
1126,Webbula,Additional Occupants from 35 - 44 years old.,29
1127,Webbula,55 - 64 year olds,29
1128,Equifax / IXI,Data Processing Executive,29
1129,Oracle Data Marketplace,Fitness Enthusiast,29
1130,Acxiom,Car/Truck/SUV,29
1131,Zipline (i-Behavior),Video Games,29
1132,Oracle Data Marketplace,Chief Operating Officers (COO),28
1133,Oracle Data Marketplace,Honeymoon,28
1134,Who2 by NetWise,"Business Services - Marketing,Advertising and Sales",28
1135,LiveRamp Data Marketplace,C-Level Executives,28
1136,Oracle Data Marketplace,Enterprise Business Solutions (EBS),28
1137,Lotame,Germany - Retirement Planning,28
1138,Equifax / IXI,IT Professional,28
1139,Datonics,Theme Parks,28
1140,LiveRamp Data Marketplace,IT Professional Groups,28
1141,Oracle Data Marketplace,Business & Vacation,28
1142,Acxiom,0 Nights,28
1143,D&B,B2B Industry > Real Estate > Real Estate,28
1144,Datonics,Do It Yourself,28
1145,D&B,Tax Specialists,28
1146,Acxiom - International,Beauty and Health,28
1147,AdAdvisor Audiences by Neustar,Cruise Shopper,27
1148,Acxiom,Likely under $250 per year,27
1149,Acxiom,"Likely over $2,500 per year",27
1150,LiveRamp Data Marketplace,Operations Management,27
1151,Acxiom,Likely $500-$999 per year,27
1152,Acxiom,Likely $250-$499 per year,27
1153,Acxiom,"Likely $1,000-$2,499 per year",27
1154,Oracle Data Marketplace,Alienware,27
1155,Webbula,Education,27
1156,AdAdvisor Audiences by Neustar,Employment Industry: Arts/Entertainment/Recreation,27
1157,Oracle Data Marketplace,Credit Card Holder,27
1158,Oracle Data Marketplace,Luxury: Frequent Spenders,27
1159,AdAdvisor Audiences by Neustar,Number of Video Games Bought in Last 12 Months: 1-5,27
1160,Experian Standard,Social Media Heavy User,27
1161,Acxiom,Compact SUV,27
1162,Webbula,Active Social Media User,27
1163,Acxiom,Compact Pickup,27
1164,Who2 by NetWise,Manufacturing - Auto,27
1165,Acxiom - International,Small Compact Cars,27
1166,Acxiom,Compact Van,27
1167,Acxiom,Entry Compact Car,27
1168,Acxiom,Premium Compact Car,27
1169,LiveRamp Data Marketplace,100-499 Employees,27
1170,Acxiom,Take a Cruise,27
1171,Oracle Data Marketplace,Newly Released Video Games,27
1172,Oracle Data Marketplace,Compact and Sub-Compact Cars,27
1173,Lotame,France - Life Insurance,27
1174,LiveRamp Data Marketplace,In Operations Buyers,26
1175,LiveRamp Data Marketplace,In IT Web Development,26
1176,LiveRamp Data Marketplace,In Industrial Engineering,26
1177,Experian Standard,Cell Phones (FLA / Fair Lending Friendly),26
1178,LiveRamp Data Marketplace,In Operations Administration,26
1179,LiveRamp Data Marketplace,In Mechanical Engineering,26
1180,LiveRamp Data Marketplace,In Marketing Creative,26
1181,LiveRamp Data Marketplace,In Marketing And Advertising,26
1182,Experian Standard,Comedy Television Watchers - Expanded,26
1183,LiveRamp Data Marketplace,In Operations Logistics,26
1184,LiveRamp Data Marketplace,In Operations Compliance,26
1185,Datonics,Loans,26
1186,Oracle Data Marketplace,Basketball,26
1187,Webbula,Video Games,26
1188,Oracle Data Marketplace,2 Door Sedan,26
1189,Oracle Data Marketplace,NFL Enthusiast,26
1190,AdAdvisor Audiences by Neustar,Budget Pet Supplies Buyers,26
1191,Webbula,Other Type of Pet Owner,26
1192,Webbula,Pet Enthusiast,26
1193,Webbula,Pets Grouping,26
1194,Oracle Data Marketplace,Adult Animation,26
1195,Oracle Data Marketplace,Paid Company Business Trip,26
1196,LiveRamp Data Marketplace,Work in Medium Company,26
1197,Zipline (i-Behavior),Sedan-4dr,26
1198,Zipline (i-Behavior),Sedan,26
1199,LiveRamp Data Marketplace,In IT Software,26
1200,Webbula,Social Media,26
1201,Webbula,Coupe,26
1202,LiveRamp Data Marketplace,Monitors,26
1203,LiveRamp Data Marketplace,In IT Systems and Business Analysts,26
1204,LiveRamp Data Marketplace,In IT Hardware,26
1205,LiveRamp Data Marketplace,In IT QA,26
1206,LiveRamp Data Marketplace,General Management - CFO,26
1207,Experian Standard,Watches Political TV-Liberal Comedy - Expanded,26
1208,D&B,Corporate Finance and M&A,26
1209,D&B,Compliance & Governance,26
1210,Datonics,"Home Equity of $100,000-$119,999",26
1211,Oracle Data Marketplace,"HHI: $100,000+",26
1212,Acxiom,Healthy Choice,26
1213,D&B,General R&D,26
1214,Oracle Data Marketplace,LA Fitness,26
1215,Zipline (i-Behavior),Infiniti G37 Sedan,26
1216,LiveRamp Data Marketplace,In IT Operations,26
1217,Experian Standard,Internet Technologies (FLA / Fair Lending Friendly),26
1218,Acxiom,Iams Healthy naturals,26
1219,Experian Standard,IT/Technical,26
1220,LiveRamp Data Marketplace,Finance Professional,26
1221,Who2 by NetWise,Sales and Marketing Professionals,26
1222,LiveRamp Data Marketplace,In Accounting,26
1223,Experian Standard,Databases (FLA / Fair Lending Friendly),26
1224,LiveRamp Data Marketplace,In IT Database,26
1225,LiveRamp Data Marketplace,In Electronic Engineering,26
1226,LiveRamp Data Marketplace,In Electrical Engineering,26
1227,LiveRamp Data Marketplace,IT Professional,26
1228,Zipline (i-Behavior),Other Sedan,26
1229,LiveRamp Data Marketplace,General Management - Executive VP,26
1230,LiveRamp Data Marketplace,In Biomedical Engineering,26
1231,LiveRamp Data Marketplace,In Chemical Engineering,26
1232,LiveRamp Data Marketplace,In Creative,26
1233,LiveRamp Data Marketplace,In Civil Engineering,26
1234,Zipline (i-Behavior),Apple Stores - Highly Likely,25
1235,Oracle Data Marketplace,Oceania,25
1236,LiveRamp Data Marketplace,General Management - CTO,25
1237,AdAdvisor Audiences by Neustar,College Baseball-Very Interested-Last 12M,25
1238,Oracle Data Marketplace,United Kingdom (UK),25
1239,Lotame,United Kingdom - Electronics & Gadgets,25
1240,Zipline (i-Behavior),Apple Stores - Likely,25
1241,LiveRamp Data Marketplace,Chief Marketing Officer,25
1242,LiveRamp Data Marketplace,Chief Executive Officer,25
1243,LiveRamp Data Marketplace,Chief Financial Officer,25
1244,Lotame,Canada - Electronics & Gadgets,25
1245,LiveRamp Data Marketplace,Chief Operating/Operations Officer,25
1246,Lotame,C-Suite,25
1247,Webbula,Gardening Enthusiast,25
1248,Acxiom,06 - Gadget Grabbers,25
1249,Webbula,Decorating Enthusiast,25
1250,Oracle Data Marketplace,Small Business Decision Makers,25
1251,D&B,B2B Decision Makers (DM) > IT/Technology Decision Makers,25
1252,AdAdvisor Audiences by Neustar,Visit Mlb.com in the Last 30 Days,25
1253,Oracle Data Marketplace,Movies,25
1254,Webbula,General Home and Gardening Enthusiast,25
1255,Acxiom,Sears,25
1256,Acxiom,Gadget Hobbyists,25
1257,Oracle Data Marketplace,Animation & Cartoons,25
1258,Oracle Data Marketplace,Africa,25
1259,Acxiom - International,High School Certificate or Above,25
1260,Acxiom - International,High School Certificate or Equivalent,25
1261,Oracle Data Marketplace,Cat Food,25
1262,Oracle Data Marketplace,MLB Enthusiast,25
1263,Acxiom,Medical Insurance from Medicare,25
1264,Acxiom,Kitchenaid,25
1265,Acxiom,Home Insurance On a Condominium or Co-Op (Financial),25
1266,Acxiom,Home Depot,25
1267,Datonics,Bankcard Credit Card,25
1268,Oracle Data Marketplace,Holiday Shoppers,25
1269,Oracle Data Marketplace,Jewelry Buyers,25
1270,Datonics,Frequent Major Credit Card Users,25
1271,Acxiom - International,03: Sedan,24
1272,Datonics,Non High School Graduate,24
1273,Acxiom,new Midsize CUV,24
1274,Acxiom - International,01: Sedan,24
1275,Acxiom - International,02: Premium Sedan & SUV,24
1276,Oracle Data Marketplace,Samsung TV Buyers,24
1277,Zipline (i-Behavior),Pet Supplies Plus - Highly Likely,24
1278,Acxiom,Flight Video Games,24
1279,D&B,Education,24
1280,Webbula,Sedan,24
1281,Oracle Data Marketplace,Apple (iPhone),24
1282,D&B,Defined Contribution Investment Officer (DCIO),24
1283,AdAdvisor Audiences by Neustar,Household Owns a Samsung TV,24
1284,AdAdvisor Audiences by Neustar,HH Subscribes to Cable TV,24
1285,Oracle Data Marketplace,Cable TV/Internet: High Spenders,24
1286,Acxiom,Family Entertainment Video Games,24
1287,Acxiom,Fitness Coaching,24
1288,Oracle Data Marketplace,Vizio TV Buyers,24
1289,Oracle Data Marketplace,MINI Hardtop 2 Door,24
1290,Acxiom,Sport Video Games,24
1291,Oracle Data Marketplace,College Graduate,24
1292,Acxiom,PetSmart,24
1293,Acxiom,PETCO,24
1294,AdAdvisor Audiences by Neustar,HH Acquired Any TV 2-3 Years Ago,24
1295,Acxiom,Other Pet Owner,24
1296,Acxiom,Other Games/Compilations Video Games,24
1297,Acxiom,New Regular Sedan,24
1298,Acxiom,New Luxury Sedan,24
1299,LiveRamp Data Marketplace,General Management - CIO,24
1300,Who2 by NetWise,High Income Professionals,24
1301,AdAdvisor Audiences by Neustar,HH Acquired Any TV 3-4 Years Ago,24
1302,Equifax / IXI,Manufacturing Executive,24
1303,Oracle Data Marketplace,4K TV Buyers,24
1304,D&B,Principal,24
1305,D&B,Sales,24
1306,Lotame,Indonesia - Video Games,24
1307,Lotame,Holiday Shopping [PrePackage],24
1308,Webbula,Performing Arts Enthusiast,24
1309,Oracle Data Marketplace,Midsize Cars,24
1310,D&B,President,24
1311,Lotame,Automobile Brands - Mini [Prepackage],24
1312,Webbula,Midsize Car,24
1313,Lotame,Latin America - Video Games,24
1314,Oracle Data Marketplace,NBA Finals,24
1315,Oracle Data Marketplace,15 Nights or More Business Travel,24
1316,Experian Standard,Dollars Spent: Heavy Spender (FLA / Fair Lending Friendly),23
1317,Experian Standard,Dollars Spent: Mid-Level Spender (FLA / Fair Lending Friendly),23
1318,Zipline (i-Behavior),Bed Bath & Beyond - Highly Likely,23
1319,Lotame,Sweepstakes Contestants [Prepackage],23
1320,Experian Standard,Dollars Spent: Budget Spender (FLA / Fair Lending Friendly),23
1321,Acxiom - International,Platinum Credit Card,23
1322,D&B,Records Management,23
1323,Acxiom,New Regular Coupe,23
1324,Zipline (i-Behavior),Bob's Discount Furniture - Highly Likely,23
1325,D&B,General Management,23
1326,Datonics,Financial Credit Payment Behavior,23
1327,Oracle Data Marketplace,"$1,000,000-$5,000,000",23
1328,LiveRamp Data Marketplace,Human Resources,23
1329,Acxiom,New Luxury Coupe,23
1330,Acxiom,Mobile Social Networker,23
1331,AdAdvisor Audiences by Neustar,All Graduates Major in Business,23
1332,Acxiom,Heavy Twitter User,23
1333,D&B,B2B Decision Makers (DM) > Small Business Owners/SBO,23
1334,LiveRamp Data Marketplace,Facilities Managers,23
1335,D&B,Risk Management,23
1336,AdAdvisor Audiences by Neustar,All Graduates Major in Health Science,23
1337,D&B,B2B Decision Makers (DM) > Small Business Decision Makers,23
1338,D&B,Production,23
1339,Oracle Data Marketplace,"$100,000,000-$500,000,000",23
1340,D&B,B2B Job Function/Roles > Finance > Tax Specialists,23
1341,D&B,B2B Decision Makers (DM) > Decision Makers,23
1342,Oracle Data Marketplace,Some Graduate School,23
1343,Zipline (i-Behavior),Bob's Discount Furniture - Likely,23
1344,Experian Standard,Number of Purchases: 5+ (FLA / Fair Lending Friendly),23
1345,LiveRamp Data Marketplace,Finance Professional Groups,23
1346,Zipline (i-Behavior),Census Education: High School Graduate,23
1347,D&B,Payroll,23
1348,Acxiom,Heavy LinkedIn User,23
1349,Zipline (i-Behavior),Census Education: Graduate School or Higher,23
1350,Zipline (i-Behavior),Census Education: College Graduate,23
1351,Oracle Data Marketplace,"$10,000,000-$25,000,000",23
1352,Oracle Data Marketplace,Pet Enthusiast,23
1353,Zipline (i-Behavior),Art Van - Likely,23
1354,Acxiom - International,45 to 54,23
1355,Experian Standard,"5,000 - 9,999 Employees",23
1356,Datonics,Online Lawn and Garden Buyers,23
1357,D&B,Quality Assurance,23
1358,Acxiom - International,07: Entry & Compact SUV,23
1359,AdAdvisor Audiences by Neustar,Manufacturing,23
1360,Acxiom - International,55 to 64,23
1361,Oracle Data Marketplace,"$50,000,000-$100,000,000",23
1362,Acxiom - International,35 to 44,23
1363,D&B,Economist,23
1364,AdAdvisor Audiences by Neustar,Employment Industry: Real Estate/Rental & Leasing,23
1365,Experian Standard,"10,000 + Employees",23
1366,Experian Standard,"1,000 - 4,999 Employees",23
1367,AdAdvisor Audiences by Neustar,Head of HH Education: Master's Degree or Higher,23
1368,Acxiom,18-24,23
1369,AdAdvisor Audiences by Neustar,Head of HH Education: Bachelor's Degree or Higher,23
1370,Oracle Data Marketplace,"$500,000,000+",23
1371,D&B,Business Owners/Board,23
1372,Experian Standard,500 - 999 Employees,23
1373,Zipline (i-Behavior),Raymour & Flanigan - Likely,23
1374,Acxiom - International,Beauty And Health,23
1375,Oracle Data Marketplace,College Graduation,23
1376,Oracle Data Marketplace,"$500,000-$1,000,000",23
1377,Oracle Data Marketplace,"$25,000,000-$50,000,000",23
1378,D&B,Maintenance,23
1379,Oracle Data Marketplace,MINI Convertible,23
1380,Oracle Data Marketplace,Chief Financial Officers (CFO),23
1381,Who2 by NetWise,C-Level,23
1382,Experian Standard,Power Spender (FLA / Fair Lending Friendly),23
1383,Oracle Data Marketplace,"$5,000,000-$10,000,000",23
1384,D&B,Ownership and Board,23
1385,D&B,Owner,23
1386,Experian Standard,TV Animation Show Fans,22
1387,LiveRamp Data Marketplace,Casual Female Gamers,22
1388,D&B,B2B Seniority > Management,22
1389,Oracle Data Marketplace,"HHI: $60,000-$74,999",22
1390,LiveRamp Data Marketplace,Casual Male Gamers,22
1391,Oracle Data Marketplace,Gourmet Cooking,22
1392,Zipline (i-Behavior),55 to 64 years,22
1393,Zipline (i-Behavior),35 to 44 years,22
1394,Zipline (i-Behavior),Cooking,22
1395,Oracle Data Marketplace,Visualization Software,22
1396,LiveRamp Data Marketplace,Chief Planning Officer,22
1397,D&B,Founder,22
1398,Experian Standard,Graduate Degree,22
1399,Experian Standard,"Uninterested, Slightly Below Average Mortgage Balance",22
1400,AdAdvisor Audiences by Neustar,Fast Food Restaurant-Visit Most Last 30Day-Subway,22
1401,Acxiom - International,05: SUV,22
1402,Zipline (i-Behavior),45 to 54 years,22
1403,AdAdvisor Audiences by Neustar,Considers Financial Security for retirement an individual Responsibility,22
1404,Oracle Data Marketplace,Kitchen and Tabletop,22
1405,Experian Standard,Couch Potatoes - Drama Lovers Model,22
1406,D&B,Partner,22
1407,Oracle Data Marketplace,Computer Programming and Consultancy,22
1408,Oracle Data Marketplace,Cruise Travel,22
1409,Oracle Data Marketplace,Likes Easy Cooking,22
1410,D&B,Investor Relations,22
1411,Datonics,Business Loans,22
1412,Experian Standard,Graduate School,22
1413,Zipline (i-Behavior),La Fitness Inc - Likely,22
1414,Zipline (i-Behavior),Graduate Degree,22
1415,Zipline (i-Behavior),Infiniti G25 Sedan,22
1416,LiveRamp Data Marketplace,Federal,22
1417,Zipline (i-Behavior),La Fitness Inc - Highly Likely,22
1418,LiveRamp Data Marketplace,Dell,22
1419,Oracle Data Marketplace,Enterprise Content,22
1420,AdAdvisor Audiences by Neustar,Fast Food Restaurant-Visit Most Last 30Day-Mcdonald'S,22
1421,D&B,B2B Decision Makers (DM) > Executives,22
1422,Oracle Data Marketplace,Planning a Foreign Vacation in Next Year,21
1423,Oracle Data Marketplace,Ice Hockey,21
1424,LiveRamp Data Marketplace,Small Business / SMB,21
1425,Oracle Data Marketplace,Age 45-54,21
1426,LiveRamp Data Marketplace,SOHO (Small Office / Home Office),21
1427,Acxiom - International,04: Compact Sedan,21
1428,Oracle Data Marketplace,Printers,21
1429,Oracle Data Marketplace,Therapeutic Toothpaste Buyers,21
1430,Acxiom - International,04: Compact SUV,21
1431,AdAdvisor Audiences by Neustar,Use Social Media: Twitter,21
1432,Bombora,Graduate Degree,21
1433,D&B,Board members,21
1434,D&B,Board Member,21
1435,Oracle Data Marketplace,Binge View Drama,21
1436,comScore,Animation,21
1437,LiveRamp Data Marketplace,Employees 100-250,21
1438,Acxiom - International,Luxury Travellers,21
1439,AdAdvisor Audiences by Neustar,Use Social Media: Facebook,21
1440,D&B,Real Estate,21
1441,Webbula,Advertising & Marketing,21
1442,D&B,Research & Development,21
1443,Datonics,Restaurants,21
1444,Experian Standard,TV Animation Show Fans - Expanded,21
1445,Experian Standard,Finance,21
1446,Webbula,"Advertising, Public Relations, and Related Services",21
1447,Datonics,TV`s & HDTV`s,21
1448,Who2 by NetWise,Information Technology - Operations & Support,20
1449,LiveRamp Data Marketplace,eSports Fans,20
1450,Oracle Data Marketplace,505 Faith and Wellbeing,20
1451,Who2 by NetWise,Information Technology - Software,20
1452,Lotame,Credit Level - Poor [Prepackage],20
1453,Acxiom,Home Equity Loan Acquired In The Last 12 Months (Financial),20
1454,Acxiom,Smart Home device regularly connected,20
1455,Bombora,Food and Drink > Dining and Restaurants,20
1456,Lotame,Spain - Electronics & Gadgets,20
1457,AdAdvisor Audiences by Neustar,"MICRO 26- Other Finance, Insurance , Real Estate",20
1458,Oracle Data Marketplace,Monitors,20
1459,Experian Standard,Pet Enthusiast - Expanded,20
1460,Acxiom,Graduate School,20
1461,Oracle Data Marketplace,"1,000-4,999 Employees",20
1462,D&B,B2B Predictive Analytics > Technology > Likely to have server budget,20
1463,Acxiom - International,Family Traveller,20
1464,Acxiom,Have personal privacy concerns about smart home technology,20
1465,Acxiom,Trust Homeowner's insurance carrier to provide smart home technology,20
1466,Acxiom,USAA Issued Credit Card Last 12 Months,20
1467,AdAdvisor Audiences by Neustar,HH Plans Remodel Kitchen Next 12M,20
1468,AdAdvisor Audiences by Neustar,Fast Food Restaurant-Visit Most Last 30Day-Chick-Fil-A,20
1469,Lotame,Online Videos [PrePackage],20
1470,Oracle Data Marketplace,Has Life Insurance (Scarborough),20
1471,Oracle Data Marketplace,500-999 Employees,20
1472,Oracle Data Marketplace,Auto Loans,20
1473,Acxiom - International,08: Life insurance,20
1474,Who2 by NetWise,Information Technology - Web,20
1475,Who2 by NetWise,Sales and Marketing Decision Makers,20
1476,Acxiom,Jewelry/Watch Specialty Store,20
1477,Zipline (i-Behavior),Men's Apparel,20
1478,Acxiom,Already have or very interested in smart home device,20
1479,Lotame,Germany - Electronics & Gadgets,20
1480,Acxiom - International,Family,20
1481,Acxiom,no concerns about smart home technology,20
1482,Oracle Data Marketplace,Dell,20
1483,Lotame,Facebook Sharers [Prepackage],20
1484,Bombora,HR Decision Maker,20
1485,Who2 by NetWise,Information Technology - Systems & Business Analysts,20
1486,AdAdvisor Audiences by Neustar,Online Purchase Jewelry & Watches Last 3Month,20
1487,Who2 by NetWise,"Information Technology - Hardware,Network & Systems",20
1488,Acxiom,Other Diet Control,20
1489,Lotame,Australia - Electronics & Gadgets,20
1490,comScore,Drama,20
1491,Experian Standard,Hybrid,20
1492,Acxiom,New Hybrid Regular Car,19
1493,Acxiom,New Hybrid Luxury Car,19
1494,Zipline (i-Behavior),Ford Fusion Hybrid,19
1495,Zipline (i-Behavior),Toyota Camry Hybrid,19
1496,AdAdvisor Audiences by Neustar,HH Owns Hybrid Vehicles,19
1497,LiveRamp Data Marketplace,"Business Services: Computer Software, Programming & Data Processing",19
1498,Acxiom - International,04: Health-Conscious Dieters,19
1499,AdAdvisor Audiences by Neustar,SOHO 15- Retail Hard Goods And Automotive,19
1500,AdAdvisor Audiences by Neustar,Plays Action/Adventure Video Games Most,19
1501,Zipline (i-Behavior),Gas/Electric Hybrid,19
1502,LiveRamp Data Marketplace,Owner/Partner,19
1503,Acxiom,Hybrid,19
1504,Datonics,"Electric, Hybrid, Green",19
1505,Zipline (i-Behavior),Toyota Highlander Hybrid,19
1506,Zipline (i-Behavior),Plug In Hybrid,19
1507,Acxiom - International,07: Cruise,19
1508,Acxiom - International,Manufacturing,19
1509,Oracle Data Marketplace,"60 - 67 Finance, Insurance, & Real Estate",19
1510,Acxiom,Home Improvement Grouping,19
1511,Datonics,Reality Show fans,19
1512,Oracle Data Marketplace,Graduation,19
1513,Experian Standard,Couch Potatoes - Drama Lovers Model - Expanded,19
1514,AdAdvisor Audiences by Neustar,Business Traveler,19
1515,D&B,Other Senior Management,19
1516,AdAdvisor Audiences by Neustar,Domestic Travel For Personal Last 12M: Any Hilton,19
1517,Webbula,Hybrid & Eletectirc,19
1518,Lotame,Age : 45-54 [PrePackage],19
1519,Lotame,Asia-Pacific - Social Media,19
1520,Lotame,Age : 55-64 [PrePackage],19
1521,Oracle Data Marketplace,Hybrid & Alternative Vehicles,19
1522,Oracle Data Marketplace,Households With Prospective College Students,19
1523,D&B,Chair,19
1524,Acxiom,Mid Luxury Car,18
1525,Webbula,Manufacturing,18
1526,Experian Standard,100 - 249 Employees,18
1527,Acxiom,Situational Comedy Shows,18
1528,Lotame,India - Video Games,18
1529,Webbula,"XLarge (1,000-5,000 Employees)",18
1530,Experian Standard,250 - 499 Employees,18
1531,D&B,Other,18
1532,AdAdvisor Audiences by Neustar,"Auto Insurance Value: $25,000-$49,999",18
1533,Oracle Data Marketplace,Reality,18
1534,Oracle Data Marketplace,Domestic Travel,18
1535,Acxiom,Comedy Central,18
1536,D&B,B2B Decision Makers (DM) > Education Decision Makers,18
1537,LiveRamp Data Marketplace,Marketing Creative,18
1538,Acxiom,30-34,18
1539,Acxiom,Cigna,18
1540,Oracle Data Marketplace,Veteran in Household,18
1541,Acxiom,Mercury,18
1542,Bombora,Marketing Professional,18
1543,Acxiom,35-39,18
1544,Acxiom - International,Luxury Traveller,18
1545,Webbula,"Huge (5,000+ Employees)",18
1546,Experian Standard,Reality TV Show Viewer,18
1547,LiveRamp Data Marketplace,Purchasing/Procurement/Buyers,18
1548,Webbula,C-Suite,18
1549,LiveRamp Data Marketplace,Medium,18
1550,Acxiom,40-44,18
1551,D&B,Franchise Owner,18
1552,Oracle Data Marketplace,Vice Presidents,18
1553,LiveRamp Data Marketplace,Supply Chain Procurement,18
1554,LiveRamp Data Marketplace,Technology Information Security,18
1555,LiveRamp Data Marketplace,Technology Management Information Systems,18
1556,AdAdvisor Audiences by Neustar,HH Acquired Any TV 1-2 Years Ago,18
1557,LiveRamp Data Marketplace,Technology Network Administration,18
1558,LiveRamp Data Marketplace,Technology Quality Assurance,18
1559,Acxiom,New Luxury CUV,18
1560,LiveRamp Data Marketplace,Technology Software,18
1561,D&B,B2B Job Function/Roles > Finance,18
1562,LiveRamp Data Marketplace,Technology Systems Admin,18
1563,D&B,Local Government Employees,18
1564,Oracle Data Marketplace,Spain (incl. Barcelona),18
1565,D&B,Credit Unions,18
1566,LiveRamp Data Marketplace,Technology Technical Support,18
1567,Acxiom,Family Vacations,18
1568,Bombora,Marketing > Advertising,18
1569,LiveRamp Data Marketplace,Technology Telecom,18
1570,LiveRamp Data Marketplace,Technology Web Development,18
1571,Acxiom,25-29,18
1572,D&B,Credit Intermediation,18
1573,LiveRamp Data Marketplace,Technology Information Technology,18
1574,D&B,B2B Job Function/Roles > Sales,18
1575,LiveRamp Data Marketplace,Technology Dba,18
1576,LiveRamp Data Marketplace,Supply Chain Sourcing,18
1577,LiveRamp Data Marketplace,Technology,18
1578,LiveRamp Data Marketplace,Technology Data Management,18
1579,LiveRamp Data Marketplace,Technology Computing,18
1580,AdAdvisor Audiences by Neustar,Fast Food Restaurant-Visit Most Last 30Day-Burger King,18
1581,LiveRamp Data Marketplace,Navy,17
1582,Oracle Data Marketplace,Ages 40-44,17
1583,AdAdvisor Audiences by Neustar,"SOHO 24- Agriculture, Mining, Manufacturing",17
1584,Oracle Data Marketplace,Ages 50-54,17
1585,AdAdvisor Audiences by Neustar,Own Any Investments,17
1586,Acxiom - International,19: Smartphone - Second Hand,17
1587,Acxiom - International,18: Smartphone - Premium Model,17
1588,Oracle Data Marketplace,Action & Adventure,17
1589,AdAdvisor Audiences by Neustar,"SOHO 22- Manufacturing, Transportation, Communications",17
1590,AdAdvisor Audiences by Neustar,SMALL 2- Manufacturing,17
1591,Datonics,Smart Investors,17
1592,Oracle Data Marketplace,MINI Clubman,17
1593,Oracle Data Marketplace,Mexican Restaurants,17
1594,Oracle Data Marketplace,Ages 35-39,17
1595,Acxiom,Personal/Joint Home Equity Line of Credit (Financial),17
1596,Acxiom,2nd Mortgage/Home Equity Loan Acquired Last 12 Months (Financial),17
1597,Oracle Data Marketplace,Desktops,17
1598,Zipline (i-Behavior),Manufacturing,17
1599,Acxiom,Personal or Joint 2nd Mortgage (Home Equity Loan) (Financial),17
1600,Datonics,Investment Leaders,17
1601,Acxiom - International,01: Frequent flyer (business trips),17
1602,Oracle Data Marketplace,Burger Restaurants,17
1603,AdAdvisor Audiences by Neustar,Operating System-Used Home:Microsoft Windows 10,17
1604,Who2 by NetWise,Manufacturing,17
1605,LiveRamp Data Marketplace,Air Force,17
1606,AdAdvisor Audiences by Neustar,Employment Industry: Manufacturing,17
1607,LiveRamp Data Marketplace,Veterans,17
1608,LiveRamp Data Marketplace,Army,17
1609,Oracle Data Marketplace,Has Windows Phone OS,17
1610,Zipline (i-Behavior),24 Hour Fitness - Highly Likely,17
1611,Oracle Data Marketplace,Sandwich Restaurants,17
1612,Webbula,"Large (500-1,000 Employees)",17
1613,D&B,IT Professionals,17
1614,Acxiom - International,04: Smartphone Enthusiasts,17
1615,Webbula,"Arts, Entertainment, and Recreation",17
1616,Acxiom,File Taxes the Same Day of the IRS Deadline (Financial),17
1617,Webbula,Application Development & Management,17
1618,AdAdvisor Audiences by Neustar,Fast Food Restaurant-Visit Most Last 30Day-Wendy'S,17
1619,Oracle Data Marketplace,Investment College,17
1620,Oracle Data Marketplace,Investment General,17
1621,Oracle Data Marketplace,Investment Retirement,17
1622,Acxiom,Family Travelers,17
1623,Acxiom,Exercise / Health,17
