Browser,Visits,Unique Visitors,Revenue,Revenue / Visits,Total Orders,Occurrences
Opera Mobile 68.3,272,223,0,0,0,821
Opera 72.0,271,199,0,0,0,1361
MQQ Browser 13.1,271,161,0,0,0,2728
Edge 18.21996,270,266,0,0,0,326
Oculus Browser 25.3,269,240,0,0,0,1160
Safari 2.0.4,268,258,0,0,0,10521
Chromium 81.0,267,264,0,0,0,378
Mozilla Firefox 37.0,267,261,0,0,0,1576
Oculus Browser 26.1,267,242,0,0,0,1064
Aloha Browser 4.8,265,221,0,0,0,1952
Opera Mobile 55.0,265,185,0,0,0,422
UC Browser 12.8,264,224,0,0,0,436
HeyTap Browser 15.7,263,236,0,0,0,606
VivoBrowser 13.4,262,174,0,0,0,2019
Maxthon 4.4,261,258,0,0,0,403
Mozilla (Gecko) 1.8,261,257,0,0,0,825
Aloha Browser 4.0,258,253,0,0,0,484
Chrome Mobile 38.0,256,251,0,0,0,1809
Opera Touch 3.0,256,229,0,0,0,1492
Edge 109,255,245,0,0,0,610
Opera 80.0,252,137,0,0,0,2688
Mozilla Firefox 3.0,247,241,0,0,0,17188
Nokia Browser,246,233,0,0,0,661
UC Browser 13.8,246,129,0,0,0,2292
Edge 18.22622,245,245,0,0,0,351
Opera 69.0,245,213,0,0,0,1117
MQQ Browser 12.2,240,206,0,0,0,2416
SeaMonkey 9.23a1pre,239,239,0,0,0,364
Chromium 83.0,238,228,0,0,0,409
Edge 18.23424,237,235,0,0,0,312
QQ Browser 9.7,236,199,0,0,0,3753
Opera Mobile 66.4,235,111,0,0,0,1791
Mozilla Firefox 30.0,232,222,0,0,0,2593
Opera Mobile 61.0,232,191,0,0,0,1005
Edge 44.6,231,230,0,0,0,312
Mozilla Firefox 28.0,230,219,0,0,0,1396
Opera 12,230,218,0,0,0,1827
Puffin 9.7,230,202,0,0,0,672
Whale 2.10,230,171,0,0,0,1329
Samsung Browser 5.0,230,164,0,0,0,3028
Mozilla Firefox 4.0,228,228,0,0,0,2389
Opera GX 1.5,228,205,0,0,0,672
MQQ Browser 12.6,228,182,0,0,0,1605
Mobile Safari 3.1,227,225,0,0,0,5441
Chrome Mobile 90,226,226,0,0,0,340
Safari 12.0,225,189,0,0,0,1991
Opera 46.0,225,175,0,0,0,1518
Opera Mobile 54.0,225,154,0,0,0,788
Internet Explorer Mobile 6.0,224,215,0,0,0,676
Mozilla Firefox 31.0,224,212,0,0,0,3079
Edge 15.15254,224,162,0,0,0,894
Maxthon 5.1,224,115,0,0,0,2572
MIUI Browser 16.8,221,131,0,0,0,1888
Opera Mobile 62.3,220,149,0,0,0,849
VivoBrowser 5.8,219,207,0,0,0,366
Opera 70.0,219,178,0,0,0,766
Chromium 65.0,219,164,0,0,0,1387
VivoBrowser 13.3,219,151,0,0,0,1623
Aloha Browser 2.9,218,218,0,0,0,322
Firefox 10.0,218,209,0,0,0,750
MIUI Browser 11.3,218,161,0,0,0,887
Chrome 32.0,217,207,0,0,0,615
Firefox 102.2,217,148,0,0,0,1304
UC Browser 13.5,216,112,0,0,0,1339
Konqueror (unknown version),214,214,0,0,0,627
Opera Mobile 72.6,213,168,0,0,0,746
Edge 44.11,212,175,0,0,0,643
MQQ Browser 12.7,212,132,0,0,0,1702
Aloha Browser 2.14,211,211,0,0,0,287
Opera 31.0,211,208,0,0,0,435
Edge 18.23419,210,210,0,0,0,287
Safari 12.4,210,209,0,0,0,248
Nokia S60 Browser,210,202,0,0,0,481
MIUI Browser 13.12,210,125,0,0,0,525
Opera Mobile 64.1,209,130,0,0,0,607
MIUI Browser 15.4,208,132,0,0,0,1421
Hi Browser 2.3,208,114,0,0,0,350
Nokia Browser 7.2,206,199,0,0,0,523
Edge 18.23430,204,202,0,0,0,313
Opera Mobile 51.2,204,132,0,0,0,388
UC Browser 13.6,203,143,0,0,0,1422
Opera Mobile 10.8,202,198,0,0,0,431
Firefox 103.1,202,168,0,0,0,825
QQ Browser 10.4,201,162,0,0,0,3269
Google Chrome 36.0,200,196,0,0,0,3957
Firefox 107,200,181,0,0,0,732
VivoBrowser 9.5,200,178,0,0,0,521
Chrome 109,199,193,0,0,0,460
Browser Internet 3.2,199,185,0,0,0,582
Edge 99.107,198,140,0,0,0,1425
MQQ Browser 12.9,197,147,0,0,0,1436
Opera 71.0,196,157,0,0,0,983
Ecosia 88.0,193,123,0,0,0,1509
Mozilla Firefox 3.5,192,189,0,0,0,4522
Edge 44.10,190,186,0,0,0,249
Edge 44.13,190,184,0,0,0,287
MIUI Browser 15.1,190,133,0,0,0,1262
Aloha Browser 2.12,189,189,0,0,0,288
Aloha Browser 2.22,188,187,0,0,0,276
Opera Touch 2.3,187,185,0,0,0,279
MIUI Browser 11.0,187,161,0,0,0,1069
Nokia S60 Browser 3.1,186,181,0,0,0,502
Phoenix 12.6,185,164,0,0,0,625
Opera 66.2,185,73,0,0,0,1330
Chrome Mobile 36.0,184,171,0,0,0,623
Edge 45.12,183,163,0,0,0,393
Google Chrome 37.0,183,136,0,0,0,1681
Samsung Browser 18.1,183,55,0,0,0,1955
Quark 5.4,182,153,0,0,0,903
Meizu Browser 9.6,182,146,0,0,0,1138
Aloha Browser 2.19,181,181,0,0,0,252
Google Chrome 4.0,181,181,0,0,0,244
Opera Mobile 50.8,180,93,0,0,0,1518
Opera,178,174,0,0,0,371
Firefox 14.0,178,163,0,0,0,591
VivoBrowser 8.5,178,161,0,0,0,467
MIUI Browser 16.1,178,130,0,0,0,1069
Mozilla Firefox 34.0,176,171,0,0,0,3507
Opera Touch 2.4,175,171,0,0,0,238
Opera 42.0,175,158,0,0,0,1787
VivoBrowser 8.2,175,152,0,0,0,313
MIUI Browser 13.15,175,54,0,0,0,606
Netscape Navigator 3.0,174,169,0,0,0,1907
Android Browser 3.0,174,167,0,0,0,508
Amazon Silk 110.5,174,144,0,0,0,847
Yandex.Browser 23.3,174,127,0,0,0,971
Seznam Browser 6.23,174,112,0,0,0,1951
Whale 1.10,174,82,0,0,0,1269
Mozilla Firefox 10.0,173,173,0,0,0,1131
Firefox 19.0,173,169,0,0,0,454
Google Chrome 35.0,173,162,0,0,0,1189
Meizu Browser 9.15,173,135,0,0,0,1067
Firefox 14.0b12646,172,164,0,0,0,665
Firefox 20.0,172,158,0,0,0,554
Opera Mobile 48.2,171,90,0,0,0,427
MIUI Browser 13.1,171,87,0,0,0,784
Edge 18.25330,170,167,0,0,0,281
Aloha Browser 4.1,170,157,0,0,0,440
Edge 45.6,169,128,0,0,0,451
Opera 28.0,168,145,0,0,0,810
Safari 14.6,168,144,0,0,0,442
Aloha Browser 4.5,168,142,0,0,0,865
Whale 3.17,168,103,0,0,0,3190
Safari 12.5,166,158,0,0,0,616
Mobile NetFront,165,159,0,0,0,435
Oculus Browser 26.3,165,148,0,0,0,572
MIUI Browser 10.4,165,135,0,0,0,911
Opera 10,164,164,0,0,0,222
MIUI Browser 4.3,164,160,0,0,0,950
Opera Mobile 60.3,163,96,0,0,0,371
Chrome 28.0,162,149,0,0,0,735
MQQ Browser 8.1,162,144,0,0,0,953
Opera 68,162,116,0,0,0,994
Coc Coc Browser 93.0,160,146,0,0,0,2272
Firefox 52.9,160,128,0,0,0,1057
Safari 12.3,159,138,0,0,0,352
MIUI Browser 13.17,159,93,0,0,0,361
MIUI Browser 17.3,158,101,0,0,0,1268
Opera Mobile 72.0,157,110,0,0,0,1007
UCTurbo 1.9,157,104,0,0,0,364
Yandex.Browser 23.1,157,91,0,0,0,3733
Firefox 25.0,155,147,0,0,0,412
Amazon Silk 112.1,155,125,0,0,0,779
Opera Mobile 69.2,155,115,0,0,0,376
Opera Mobile 43.2,154,153,0,0,0,377
Edge 45.09,154,80,0,0,0,973
Chrome 19.0,153,146,0,0,0,495
Chrome Mobile 37.0,153,139,0,0,0,917
Firefox 21.0,153,131,0,0,0,1192
Chrome Mobile 48.0,153,122,0,0,0,1206
Opera Touch 1.11,152,152,0,0,0,204
Nokia Browser 7.3,152,137,0,0,0,519
MIUI Browser 15.3,152,80,0,0,0,683
Firefox 104,151,145,0,0,0,423
Opera 67.1,151,105,0,0,0,1675
Edge 18.25336,150,150,0,0,0,235
Edge 45.8,150,145,0,0,0,247
Oculus Browser 26.2,150,139,0,0,0,430
Nokia S60 Browser 5.0,149,141,0,0,0,398
Huawei Browser 50.50,149,109,0,0,0,661
Chromium 103.0,148,131,0,0,0,270
Opera Mobile 58.6,148,102,0,0,0,901
Edge 18.25309,146,146,0,0,0,209
UC Browser 5.6,146,134,0,0,0,816
Safari 15.600000,145,80,0,0,0,854
Edge 46.06,145,72,0,0,0,594
Chrome 10.0,144,136,0,0,0,2858
Firefox 99.3,144,104,0,0,0,348
Opera Mobile 62.2,144,100,0,0,0,357
Maxthon 5.0,143,52,0,0,0,944
Opera Mobile 64.3,142,103,0,0,0,561
Edge 12.246,141,140,0,0,0,1117
Yandex.Browser 19.7,141,138,0,0,0,210
Opera Mobile 58.0,141,121,0,0,0,458
Edge 18.23435,140,136,0,0,0,192
Opera Mini 7.5,140,127,0,0,0,242
Edge 44.9,139,139,0,0,0,187
Safari 14.2,139,129,0,0,0,290
Opera 78.0,139,72,0,0,0,1366
QQ Browser 6.9,139,28,0,0,0,1528
Chrome 22.0,137,126,0,0,0,458
VivoBrowser 8.7,137,120,0,0,0,216
MIUI Browser 10.5,137,119,0,0,0,263
Aloha Browser 3.0,135,135,0,0,0,210
Vivaldi 2.6,135,121,0,0,0,335
Mozilla Firefox 5.0,134,134,0,0,0,2654
Chrome 20.0,134,127,0,0,0,384
Kindle Browser,134,123,0,0,0,337
Firefox 33.1,134,83,0,0,0,804
Opera Mobile 72.1,133,91,0,0,0,664
Firefox 104.1,133,89,0,0,0,460
Edge 45.3,132,126,0,0,0,189
Edge 17.17133,132,115,0,0,0,932
Opera Mobile 68.2,132,93,0,0,0,498
Edge 18.25324,131,129,0,0,0,188
Chrome 5.0,131,126,0,0,0,451
Firefox 5.0,131,123,0,0,0,484
MIUI Browser 16.3,131,85,0,0,0,725
Edge 18.25346,130,130,0,0,0,187
Opera 11,130,128,0,0,0,202
Mozilla Firefox 32.0,130,124,0,0,0,2701
MIUI Browser 13.7,130,73,0,0,0,299
Chrome Mobile 28.0,129,129,0,0,0,2180
Chrome Mobile 18.0,129,123,0,0,0,392
MIUI Browser 2.1,128,114,0,0,0,410
HeyTap Browser 7.6,128,100,0,0,0,387
Edge 108,128,96,0,0,0,695
Chromium 25.0,127,120,0,0,0,705
Konqueror 3.5,127,120,0,0,0,472
MIUI Browser 11.2,127,115,0,0,0,513
MIUI Browser 16.5,127,80,0,0,0,633
Opera Mobile 12.140,127,62,0,0,0,760
Edge 18.25300,126,126,0,0,0,161
SEMC Browser,126,120,0,0,0,405
Google Chrome 82.0,126,45,0,0,0,1120
Konqueror 3,125,125,0,0,0,172
MQQ Browser 12.8,125,93,0,0,0,1185
Opera Touch 2.6,124,119,0,0,0,186
MIUI Browser 9.3,124,112,0,0,0,185
Chrome 113,124,103,0,0,0,575
Opera Mobile 83.0,123,123,0,0,0,151
Firefox 16.0,123,115,0,0,0,437
MIUI Browser 12.6,123,89,0,0,0,326
MQQ Browser 8.5,122,122,0,0,0,151
Firefox 1.5,122,120,0,0,0,865
Google Chrome 11.0,122,103,0,0,0,1904
Yandex.Browser 22.3,122,96,0,0,0,871
Aloha Browser 2.17,121,116,0,0,0,186
Opera 58.0,121,110,0,0,0,402
Edge 44.8,120,120,0,0,0,162
Galeon (unknown version),120,116,0,0,0,320
MIUI Browser 9.2,120,114,0,0,0,301
Chrome Mobile 40.0,120,108,0,0,0,704
HeyTap Browser 25.8,120,106,0,0,0,237
QQ Browser 9.6,120,102,0,0,0,1701
Internet Explorer 5.0,119,116,0,0,0,517
Firefox 40,119,115,0,0,0,368
Aloha Browser 4.9,119,107,0,0,0,649
Microsoft MSN Explorer,119,87,0,0,0,451
Firefox 17.3b15323,119,61,0,0,0,568
Phoenix 11.8,118,96,0,0,0,566
Safari 9.1.2,117,117,0,0,0,2826
Maxthon 5.4,117,117,0,0,0,179
VivoBrowser 6.0,117,114,0,0,0,263
QQ Browser 9.5,117,101,0,0,0,1789
Opera 66.4,117,57,0,0,0,729
Firefox Focus 1.0,116,116,0,0,0,136
Safari 14.3,116,108,0,0,0,423
Opera Mini 7.6,116,107,0,0,0,181
UC Browser 12.6,116,104,0,0,0,225
UC Browser 12.11,116,87,0,0,0,295
Samsung Browser 1.0,116,86,0,0,0,981
Amazon Silk 90.3,116,66,0,0,0,216
Puffin 3.11546IP,115,115,0,0,0,124
Opera Mobile 10.9,115,114,0,0,0,194
Opera 65.0,115,99,0,0,0,501
Phoenix 11.7,115,98,0,0,0,292
MIUI Browser 15.7,115,89,0,0,0,641
MIUI Browser 16.6,115,66,0,0,0,680
Chrome 13.0,114,111,0,0,0,1000
Safari 5.0,114,108,0,0,0,2375
Google Chrome 33.0,114,107,0,0,0,741
Opera 42,114,106,0,0,0,1091
Aloha Browser 2.24,113,113,0,0,0,156
Opera Touch 2.5,113,103,0,0,0,298
MQQ Browser 12.0,113,77,0,0,0,1155
Thunderbird 102.9,113,43,0,0,0,202
Internet Explorer 4.01,112,110,0,0,0,226
Opera Mobile 37.1,112,108,0,0,0,142
Opera Mobile 61.1,112,62,0,0,0,459
Google Chrome 10.0,111,111,0,0,0,1302
Opera Mobile 44.1,111,108,0,0,0,281
Vivaldi 1.0,111,103,0,0,0,416
Mozilla Firefox 29.0,111,101,0,0,0,1849
Opera 76.0,111,69,0,0,0,1033
Aloha Browser 2.8,110,110,0,0,0,148
Internet Explorer 5.5,110,106,0,0,0,276
Safari 13.0.2,110,83,0,0,0,914
MQQ Browser 9.6,109,93,0,0,0,848
Internet Explorer,108,108,0,0,0,2223
Opera 40.0,108,87,0,0,0,1002
Aloha Browser 3.3,107,107,0,0,0,152
Opera 9.6,107,107,0,0,0,146
Edge 110.1587,107,107,0,0,0,116
Vivaldi 2.4,107,54,0,0,0,208
Safari 11.0,106,100,0,0,0,2098
Opera 58.7,106,75,0,0,0,567
Puffin 8.0,106,72,0,0,0,124
Firefox 18.1b15719,105,104,0,0,0,168
Opera Mobile 58.7,105,73,0,0,0,452
MQQ Browser 10.1,104,101,0,0,0,181
SeaMonkey 2.7,104,96,0,0,0,407
OPPO Browser 25.5,104,91,0,0,0,306
Opera Mobile 46.3,104,68,0,0,0,175
Google Chrome 30.0,103,102,0,0,0,567
Nokia Browser 8.5,103,97,0,0,0,300
MIUI Browser 10.3,103,92,0,0,0,132
Opera Mobile 62.1,103,90,0,0,0,249
Huawei Browser 9.1,103,40,0,0,0,303
Chrome 17.0,102,100,0,0,0,188
Chromium 76.0,102,87,0,0,0,262
Chrome Mobile 1.0,102,86,0,0,0,308
Safari 7.0.3,102,83,0,0,0,1152
MIUI Browser 8.5,101,94,0,0,0,163
MQQ Browser 9.9,101,82,0,0,0,335
Polaris 6.01,100,95,0,0,0,406
VivoBrowser 6.3,100,94,0,0,0,258
Edge 45.9,100,86,0,0,0,215
MQQ Browser 9.5,99,99,0,0,0,132
Opera Touch 2.2,99,97,0,0,0,180
Safari 13.2,99,85,0,0,0,178
Coc Coc Browser 87.0,99,83,0,0,0,601
Google Chrome 22.0,98,98,0,0,0,576
VivoBrowser 12.2,98,77,0,0,0,1045
Whale 2.7,98,75,0,0,0,426
Firefox 100,97,94,0,0,0,299
MIUI Browser 8.7,97,86,0,0,0,192
Edge 14.14931,96,95,0,0,0,378
Safari 14.5,96,91,0,0,0,207
Mozilla Firefox 12.0,95,95,0,0,0,667
Aloha Browser 2.10,95,95,0,0,0,153
SeaMonkey 1.1,95,90,0,0,0,448
Tencent Traveler 4.0,95,90,0,0,0,181
Opera Touch 2.0,95,90,0,0,0,151
Mozilla (Gecko) 1.6,94,91,0,0,0,242
Nokia S60 Browser 2.6,94,90,0,0,0,286
Opera 9.64,94,89,0,0,0,515
MIUI Browser 16.7,94,71,0,0,0,590
UP.Browser,93,90,0,0,0,284
Chrome 9.0,93,87,0,0,0,237
Whale 3.16,93,52,0,0,0,725
Opera 9.2,92,92,0,0,0,130
Firefox 34.1,92,91,0,0,0,121
Chrome 6.0,92,90,0,0,0,192
Safari 13.3,92,89,0,0,0,157
Phoenix 11.5,92,70,0,0,0,326
Opera Mobile 56.1,92,68,0,0,0,353
Firefox 18.2b15817,91,91,0,0,0,127
Coc Coc Browser 85.0,91,76,0,0,0,1140
MQQ Browser 10.8,91,71,0,0,0,501
Coc Coc Browser 56.3,90,87,0,0,0,533
Safari 16.000000,90,71,0,0,0,495
Mozilla Firefox 16.0,89,88,0,0,0,123
Firefox 24.0,89,86,0,0,0,221
Edge 46.01,89,48,0,0,0,714
Google Chrome 34.0,88,82,0,0,0,1998
Pale Moon,88,71,0,0,0,864
Puffin 9.3,88,70,0,0,0,463
UC Browser 12.14,88,58,0,0,0,299
UC Browser 5.7,88,53,0,0,0,1186
Chrome Mobile 106,88,21,0,0,0,394
Edge 17.10859,87,87,0,0,0,205
MQQ Browser 10.0,87,86,0,0,0,300
Edge 18.25352,87,86,0,0,0,117
Chrome Mobile 32.0,87,83,0,0,0,216
Konqueror 4.5,87,79,0,0,0,325
UC Browser 11.4,87,60,0,0,0,125
Google Chrome 28.0,86,86,0,0,0,499
Mozilla Firefox 20.0,86,85,0,0,0,1292
Opera Mini 5.0,86,84,0,0,0,188
Browser Internet 2.0,86,81,0,0,0,130
Konqueror,86,65,0,0,0,752
Opera 73.1,86,63,0,0,0,549
Opera 72,86,56,0,0,0,435
VivoBrowser 13.2,86,55,0,0,0,761
Google Chrome 19.0,85,85,0,0,0,118
Samsung Browser 3.2,85,81,0,0,0,664
Aloha Browser 2.16,84,84,0,0,0,124
Google Chrome 32.0,84,82,0,0,0,549
Chrome Mobile 35.0,84,80,0,0,0,1143
MQQ Browser 12.5,84,72,0,0,0,936
Edge 46.03,84,29,0,0,0,409
Maxthon 13600,84,18,0,0,0,307
Google Chrome 20.0,83,83,0,0,0,117
Puffin 4.5,83,82,0,0,0,180
Chrome 7.0,83,76,0,0,0,245
Edge 77.0,83,67,0,0,0,187
Opera Mobile 50.0,83,65,0,0,0,478
Aloha Browser 2.13,82,82,0,0,0,110
Firefox 106,82,81,0,0,0,304
SeaMonkey 2.0,82,80,0,0,0,258
Opera Mobile 59.0,82,48,0,0,0,321
Edge 45.7,81,80,0,0,0,155
SEMC Browser 4.1,81,79,0,0,0,269
Chrome 14.0,81,78,0,0,0,182
VivoBrowser 8.3,81,78,0,0,0,145
Chromium 75.0,81,77,0,0,0,149
Pale Moon 29.4,81,66,0,0,0,305
Aloha Browser 2.21,80,80,0,0,0,109
Firefox 98,80,79,0,0,0,211
Safari 9.0.2,80,76,0,0,0,2675
Safari 12.0.3,80,75,0,0,0,346
QQ Browser 6.12,80,70,0,0,0,167
Coc Coc Browser 90.0,80,66,0,0,0,698
Chrome Mobile 107,80,51,0,0,0,597
Opera Mobile 52.2,80,43,0,0,0,214
Microsoft Internet Explorer 5.5,79,79,0,0,0,3943
Opera Mobile 51.0,79,66,0,0,0,185
Edge 18.14383,78,78,0,0,0,1221
Safari 7.1,78,78,0,0,0,918
Coc Coc Browser 61.4,78,78,0,0,0,302
Edge 45.2,78,76,0,0,0,149
Chrome 15.0,78,74,0,0,0,220
Aloha Browser 2.15,77,77,0,0,0,104
Chrome 3.0,77,77,0,0,0,93
Internet Explorer 5.01,77,74,0,0,0,378
Amazon Silk 92.2,77,63,0,0,0,488
Coc Coc Browser 95.0,77,58,0,0,0,870
Waterfox 78.14,77,16,0,0,0,383
Yandex.Browser 22.116,76,76,0,0,0,85
Aloha Browser 1.0,76,59,0,0,0,1086
Coc Coc Browser 80.0,76,53,0,0,0,306
MIUI Browser 14.4,76,24,0,0,0,217
Opera Mobile 28.0,75,74,0,0,0,289
Firefox 102.1,75,66,0,0,0,138
Phoenix 11.4,75,65,0,0,0,496
MIUI Browser 10.2,75,60,0,0,0,259
Opera Mobile 58.4,75,47,0,0,0,256
Yandex.Browser 23.14,74,74,0,0,0,177
Chrome 107,74,74,0,0,0,136
Safari 12.2,74,74,0,0,0,101
Google Chrome 17.0,74,74,0,0,0,84
Firefox 29.1,74,73,0,0,0,166
Mobile Opera 7.50,74,72,0,0,0,260
Opera 67,74,72,0,0,0,238
BlackBerry Browser 6.0,74,71,0,0,0,179
MQQ Browser 11.9,74,65,0,0,0,562
Coc Coc Browser 89.0,74,65,0,0,0,436
Quark 4.6,74,58,0,0,0,243
MIUI Browser 16.2,74,54,0,0,0,442
Google Chrome 14.0,73,73,0,0,0,93
Mozilla Firefox 25.0,73,72,0,0,0,404
Mozilla (Gecko) 1.7,73,69,0,0,0,160
Phoenix 11.6,73,68,0,0,0,168
Chromium 73.0,73,66,0,0,0,318
Yandex.Browser 22.11,73,65,0,0,0,178
MIUI Browser 15.8,73,48,0,0,0,395
Aloha Browser 2.20,72,72,0,0,0,103
Microsoft Internet Explorer (unknown version),72,70,0,0,0,1521
Ecosia 4.1,72,68,0,0,0,152
Opera 57.0,72,63,0,0,0,646
Opera 52.0,72,63,0,0,0,149
Opera Mobile 70.0,72,58,0,0,0,181
Mozilla Firefox 6.0,71,71,0,0,0,1105
Google Chrome 13.0,71,71,0,0,0,77
Mypal 29.2,71,44,0,0,0,842
Thunderbird 102.10,71,35,0,0,0,127
PrivacyWall 106.0,71,34,0,0,0,525
Opera Mini 4.2,70,68,0,0,0,187
SeaMonkey 2.9,70,65,0,0,0,236
MIUI Browser 13.9,70,42,0,0,0,261
UC Browser 12.0,70,39,0,0,0,812
Opera GX 1.0,70,39,0,0,0,332
Seznam Browser 9.1,70,9,0,0,0,156
Edge 13.9200,69,69,0,0,0,75
Edge 78.0,69,67,0,0,0,192
Opera 58,69,52,0,0,0,302
Quark 4.7,69,35,0,0,0,623
Opera Mini 5.1,68,66,0,0,0,148
BlackBerry Browser 7.1,68,65,0,0,0,548
Chrome 27.0,68,65,0,0,0,153
Chrome 2.0,68,65,0,0,0,94
UC Browser 12.10,68,49,0,0,0,267
Chrome Mobile 19.0,67,63,0,0,0,1044
SeaMonkey 2.35,67,63,0,0,0,241
Vivaldi 2.5,67,61,0,0,0,338
UC Browser 12.1,67,46,0,0,0,309
MQQ Browser 10.5,67,29,0,0,0,472
Mozilla (Gecko) 1.4,66,62,0,0,0,162
Firefox 99.1,66,60,0,0,0,154
Firefox 19.1b16203,66,54,0,0,0,184
Firefox 22.0,66,54,0,0,0,120
MQQ Browser 7.5,65,65,0,0,0,79
Yandex.Browser 22.93,65,65,0,0,0,65
Chrome 16.0,65,62,0,0,0,229
Firefox 27.0,65,61,0,0,0,113
Firefox 102,65,57,0,0,0,235
MIUI Browser 8.1,65,57,0,0,0,183
Firefox 24.1,65,56,0,0,0,168
HeyTap Browser 20.8,65,55,0,0,0,328
Amazon Silk 96.4,65,54,0,0,0,359
Safari 5.0.3,64,64,0,0,0,2806
Edge 18.17720,64,64,0,0,0,1727
Google Chrome 9.0,64,64,0,0,0,75
Chrome Mobile 41.0,64,61,0,0,0,1390
BlackBerry Browser 10.0,64,61,0,0,0,241
MQQ Browser 11.2,64,61,0,0,0,173
Firefox 1.3,64,59,0,0,0,185
Edge 42.0,64,53,0,0,0,206
MIUI Browser 14.8,64,30,0,0,0,654
Safari 11.4,63,63,0,0,0,146
Chromium 48.0,63,62,0,0,0,294
Netscape Navigator 4.77,63,61,0,0,0,140
Edge 18.19582,63,58,0,0,0,14678
Amazon Silk 86.4,63,49,0,0,0,189
Opera 49.0,63,33,0,0,0,475
Edge 18.19577,62,62,0,0,0,2281
Firefox 16.2b14898,62,62,0,0,0,99
Firefox 96,62,62,0,0,0,83
Firefox 19.0b16042,62,58,0,0,0,156
Konqueror 4.1,62,55,0,0,0,220
QQ Browser 10.3,62,54,0,0,0,869
Opera Mobile 39.1,62,54,0,0,0,175
Vivaldi 2.7,62,53,0,0,0,310
Safari 15.500000,62,28,0,0,0,408
Google Chrome 12.0,61,61,0,0,0,3909
Mozilla Firefox 14.0,61,61,0,0,0,395
Firefox 1.0,61,60,0,0,0,1494
Coc Coc Browser 86.0,61,49,0,0,0,770
Google Chrome 25.0,60,60,0,0,0,423
Safari 13.6,60,60,0,0,0,100
Yandex.Browser 22.91,60,60,0,0,0,66
Safari 13.4,60,59,0,0,0,107
Firefox 28.1,60,59,0,0,0,86
Nokia S60 Browser 3.0,60,58,0,0,0,162
Google Chrome 31.0,60,57,0,0,0,1644
Edge 45.5,60,57,0,0,0,207
webOS Browser 221.56,60,57,0,0,0,149
Mozilla (Gecko) 1.2,60,57,0,0,0,144
Opera 20.0,60,56,0,0,0,241
UC Browser 10.6,60,54,0,0,0,131
Opera 47,60,46,0,0,0,303
Coc Coc Browser 83.0,60,41,0,0,0,437
Pale Moon 31.3,60,22,0,0,0,395
Firefox 99,59,59,0,0,0,147
Firefox 39,59,59,0,0,0,132
Google Chrome 15.0,59,59,0,0,0,80
Yandex.Browser 23.12,59,59,0,0,0,67
BlackBerry Browser 1.0,59,58,0,0,0,165
Nokia S60 Browser 2.1,59,58,0,0,0,145
Opera 30.0,59,56,0,0,0,182
Opera Mini 2.0,59,56,0,0,0,158
Phoenix 3.6,59,56,0,0,0,126
VivoBrowser 8.6,59,55,0,0,0,89
MQQ Browser 12.3,59,52,0,0,0,846
Firefox 20.2,59,52,0,0,0,101
Mint Browser 2.4,59,52,0,0,0,87
Opera 65,59,50,0,0,0,390
Opera Mobile 57.2,59,38,0,0,0,218
MQQ Browser 11.5,59,28,0,0,0,499
Mozilla Firefox 7.0,58,57,0,0,0,1126
NetFront 3.4,58,56,0,0,0,139
webOS Browser,58,56,0,0,0,133
Opera 8.65,58,55,0,0,0,2652
Opera 11.01,58,55,0,0,0,1231
Safari 12.0.1,58,53,0,0,0,1784
Coc Coc Browser 66.4,58,50,0,0,0,917
Opera 72.5,58,39,0,0,0,400
Safari 4.0.4,57,57,0,0,0,2877
Safari 1.3.1,57,56,0,0,0,3255
Netscape Navigator 7.1,57,55,0,0,0,846
MIUI Browser 11.11,57,49,0,0,0,137
Quark 5.2,57,26,0,0,0,201
Mozilla Firefox 19.0,56,56,0,0,0,402
MQQ Browser 11.7,56,56,0,0,0,268
Sleipnir,56,56,0,0,0,133
Mobile Safari 3.2,56,56,0,0,0,76
Opera Touch 1.10,56,56,0,0,0,72
Yandex.Browser 23.32,56,56,0,0,0,60
Opera 11.52,56,55,0,0,0,132
Firefox 23.0,56,55,0,0,0,120
Opera 54.0,56,54,0,0,0,313
UP.Browser 5.0,56,54,0,0,0,149
Motorola MIB 2.2,56,54,0,0,0,141
Opera Mini 1.0,56,53,0,0,0,171
Nokia S60 Browser 2.8,56,53,0,0,0,155
Coc Coc Browser 96.0,56,48,0,0,0,534
MQQ Browser 6.1,56,44,0,0,0,8292
Opera 53.0,56,42,0,0,0,258
Pale Moon 27.9,56,29,0,0,0,320
MIUI Browser 13.0,56,28,0,0,0,353
Microsoft Internet Explorer 5.01,55,55,0,0,0,1656
Mozilla Firefox 1.5.0,55,54,0,0,0,5434
Netscape Navigator 1.2,55,54,0,0,0,153
Google Chrome 38.0,55,53,0,0,0,320
Firefox 7.0,55,53,0,0,0,229
Internet Explorer Mobile,55,53,0,0,0,143
Mobile Opera 6.20,55,53,0,0,0,141
Firefox 20.1,55,51,0,0,0,172
MQQ Browser 10.7,55,50,0,0,0,194
Cake 6.0,55,48,0,0,0,285
Amazon Silk 100.2,55,45,0,0,0,388
UC Browser 11.5,55,42,0,0,0,1000
Opera Mobile 53.1,55,39,0,0,0,151
Mozilla Firefox 24.0,54,53,0,0,0,2131
Opera 9.25,54,53,0,0,0,132
Firefox 28.2,54,53,0,0,0,122
Maxthon 6.0,54,52,0,0,0,125
Firefox 25.1,54,52,0,0,0,122
